sort,Standard_image,Standard.ID,Perched_Image,iNat_image,iNat.observation,DATE,year,data.type,Julian.date,image.julian.year,longitude,latitude,iNat.photo.quality.score,Std.photo.issue,iNat.photo.issues,iNat.AI.object.recognized,Site_code_revised,iNat.AI.proportion,iNat.manual.proportion,Standard.AI.hw.proportion,Standard.AI.fw.proportion,Standard.AI.tw.proportion,Standard.manual.hw.proportion,Standard.manual.fw.proportion,Standard.manual.tw.proportion,MAIN_BAS_3,MAIN_BAS_5,HYBAS_ID_5,HYBAS_ID_4,HYBAS_ID_3,ddRAD_hydro_ID_5,ddRAD_hydro_ID_4,ddRAD_hydro_ID_3,iNat.AI.datasource,iNat.manual.datasource,Standard.AI.datasource,Standard.manual.datasource,note,draft.estimate.prop.pigment,best.estimate.source,CLUSTER,iNat.AI.corrected,iNat.manual.corrected,Standard.AI.hw.corrected
6153,NA,NA,NA,16079327,16079327,31/08/2018,2018,N-Y-N-N,243,NA2432018,-82.22796179,39.54215481,10,NA,N-N-N-N,FALSE,NA,NA,0.136239114,NA,NA,NA,NA,NA,NA,7030047060,7050047060,7050568950,7040612640,7030047060,FALSE,TRUE,TRUE,All_data_iNat_standard.csv,All_data_iNat_standard.csv,NA,NA,,0.049300515,iNat.Manual,F,NA,0.049300515,NA
4256,NA,NA,NA,10012360,10012360,18/02/2018,2018,Y-Y-N-N,49,NA492018,-105.448179,20.487868,10,NA,N-N-N-N,TRUE,NA,0.187354856,0.137153424,NA,NA,NA,NA,NA,NA,7030000010,7050005420,7050005420,7040005420,7030000010,TRUE,TRUE,TRUE,perching_wing_2024-01-17.csv,All_data_iNat_standard.csv,NA,NA,,0.050348049,iNat.Manual,B,0.195831393,0.050348049,NA
2986,6902,NA,NA,NA,NA,27/08/2019,2019,N-N-N-Y,239,69022392019,-89.36216,42.31723,NA,NA,NA,NA,IL01,NA,NA,NA,NA,NA,0.052,0.010861763,0.030696145,7030047060,7050047060,7050511950,7040569650,7030047060,TRUE,TRUE,TRUE,NA,NA,NA,ImageMeasurements2004-2021.xlsx,,0.051623365,Std.Manual,F,NA,NA,NA
6192,NA,NA,NA,17250644,17250644,07/09/2018,2018,N-Y-N-N,250,NA2502018,-81.85748667,39.311535,NA,NA,NA,NA,NA,NA,0.138366896,NA,NA,NA,NA,NA,NA,7030047060,7050047060,7050568950,7040612640,7030047060,FALSE,TRUE,TRUE,All_data_iNat_standard.csv,All_data_iNat_standard.csv,NA,NA,,0.051738336,iNat.Manual,F,NA,0.051738336,NA
5994,NA,NA,NA,126386336,126386336,09/07/2022,2022,Y-N-N-N,190,NA1902022,-82.84690697,9.695932701,7,NA,N-N-N-N,TRUE,NA,0.053576304,NA,NA,NA,NA,NA,NA,NA,7030049280,7050054670,7050054670,7040054670,7030049280,TRUE,TRUE,TRUE,perching_wing_2024-01-17.csv,NA,NA,NA,,0.052350818,iNat.AI,C,0.052350818,NA,NA
6336,NA,NA,NA,8408742,8408742,14/10/2017,2017,N-Y-N-N,287,NA2872017,-90.48211098,36.46595507,8,NA,N-Y-N-N,FALSE,NA,NA,0.139176155,NA,NA,NA,NA,NA,NA,7030047060,7050047060,7050682360,7040686540,7030047060,TRUE,TRUE,TRUE,All_data_iNat_standard.csv,All_data_iNat_standard.csv,NA,NA,,0.052665513,iNat.Manual,H,NA,0.052665513,NA
6313,NA,NA,NA,16537193,16537193,14/09/2018,2018,Y-Y-N-N,257,NA2572018,-83.00950025,39.62857403,10,NA,N-N-N-N,TRUE,NA,0.183526825,0.140095165,NA,NA,NA,NA,NA,NA,7030047060,7050047060,7050594340,7040612640,7030047060,FALSE,TRUE,TRUE,perching_wing_2024-01-17.csv,All_data_iNat_standard.csv,NA,NA,,0.053718431,iNat.Manual,F,0.191725741,0.053718431,NA
5853,NA,NA,NA,151479159,151479159,16/03/2023,2023,Y-N-N-N,75,NA752023,-88.7902739,17.26213509,7,NA,N-N-N-N,TRUE,NA,0.054888218,NA,NA,NA,NA,NA,NA,NA,7030049280,7050050930,7050050930,7040050930,7030049280,TRUE,TRUE,TRUE,perching_wing_2024-01-17.csv,NA,NA,NA,,0.053757876,iNat.AI,D,0.053757876,NA,NA
6333,NA,NA,NA,8408731,8408731,14/10/2017,2017,N-Y-N-N,287,NA2872017,-90.45990229,36.47636003,7,NA,Y-N-N-N,FALSE,NA,NA,0.140311507,NA,NA,NA,NA,NA,NA,7030047060,7050047060,7050682360,7040686540,7030047060,TRUE,TRUE,TRUE,All_data_iNat_standard.csv,All_data_iNat_standard.csv,NA,NA,,0.053966297,iNat.Manual,H,NA,0.053966297,NA
4370,NA,NA,NA,4725240,4725240,22/10/2016,2016,Y-Y-N-N,296,NA2962016,-77.51287937,37.549477,8,NA,N-Y-N-N,TRUE,NA,0.289302112,0.141116604,NA,NA,NA,NA,NA,NA,7030038340,7050041410,7050041410,7040041410,7030038340,TRUE,TRUE,TRUE,perching_wing_2024-01-17.csv,All_data_iNat_standard.csv,NA,NA,,0.054888704,iNat.Manual,F,NA,0.054888704,NA
3021,7057,NA,NA,NA,NA,28/08/2019,2019,N-N-N-Y,240,70572402019,-84.49008,42.2346,NA,NA,NA,NA,MI01,NA,NA,NA,NA,NA,0.055,0.011899891,0.032525796,7030034520,7050034520,7050453940,7040392650,7030034520,TRUE,TRUE,TRUE,NA,NA,NA,ImageMeasurements2004-2021.xlsx,,0.055231507,Std.Manual,F,NA,NA,NA
6236,NA,NA,NA,95208287,95208287,17/09/2021,2021,Y-N-N-N,260,NA2602021,-81.94299396,40.3930456,9,NA,N-N-N-N,TRUE,NA,0.056301795,NA,NA,NA,NA,NA,NA,NA,7030047060,7050047060,7050568950,7040612640,7030047060,FALSE,TRUE,TRUE,perching_wing_2024-01-17.csv,NA,NA,NA,,0.05527397,iNat.AI,F,0.05527397,NA,NA
3395,790,NA,NA,NA,NA,26/08/2021,2021,N-N-N-Y,238,7902382021,-89.36545,42.55004,NA,NA,NA,NA,WI01,NA,NA,NA,NA,NA,0.055,0.004751185,0.02914969,7030047060,7050047060,7050511950,7040569650,7030047060,TRUE,TRUE,TRUE,NA,NA,NA,ImageMeasurements2004-2021.xlsx,,0.055479213,Std.Manual,F,NA,NA,NA
6207,NA,NA,NA,32552743,32552743,11/09/2019,2019,Y-N-N-N,254,NA2542019,-82.23364179,39.45734019,7,NA,N-N-N-N,TRUE,NA,0.057859028,NA,NA,NA,NA,NA,NA,NA,7030047060,7050047060,7050568950,7040612640,7030047060,FALSE,TRUE,TRUE,perching_wing_2024-01-17.csv,NA,NA,NA,,0.056944138,iNat.AI,F,0.056944138,NA,NA
4254,NA,NA,NA,10779779,10779779,12/02/2018,2018,Y-Y-N-N,43,NA432018,-105.428195,20.48046595,9,NA,Y-N-N-N,TRUE,NA,0.185775041,0.143676449,NA,NA,NA,NA,NA,NA,7030000010,7050005420,7050005420,7040005420,7030000010,TRUE,TRUE,TRUE,perching_wing_2024-01-17.csv,All_data_iNat_standard.csv,NA,NA,,0.057821544,iNat.Manual,B,NA,0.057821544,NA
6279,NA,NA,NA,186226577,186226577,04/10/2023,2023,Y-N-N-N,277,NA2772023,-81.964435,40.43617833,6,NA,N-N-N-N,TRUE,NA,0.060362622,NA,NA,NA,NA,NA,NA,NA,7030047060,7050047060,7050568950,7040612640,7030047060,FALSE,TRUE,TRUE,perching_wing_2024-01-17.csv,NA,NA,NA,,0.0596293,iNat.AI,F,0.0596293,NA,NA
6121,NA,NA,NA,90716365,90716365,10/08/2021,2021,Y-N-N-N,222,NA2222021,-89.19641716,42.42882281,8,NA,N-N-N-N,TRUE,NA,0.060800059,NA,NA,NA,NA,NA,NA,NA,7030047060,7050047060,7050511950,7040569650,7030047060,TRUE,TRUE,TRUE,perching_wing_2024-01-17.csv,NA,NA,NA,,0.060098461,iNat.AI,F,0.060098461,NA,NA
3001,6984,NA,NA,NA,NA,28/08/2019,2019,N-N-N-Y,240,69842402019,-84.49008,42.2346,NA,NA,NA,NA,MI01,NA,NA,NA,NA,NA,0.06,0.009665746,0.033839977,7030034520,7050034520,7050453940,7040392650,7030034520,TRUE,TRUE,TRUE,NA,NA,NA,ImageMeasurements2004-2021.xlsx,,0.060122678,Std.Manual,F,NA,NA,NA
3416,856,NA,NA,NA,NA,27/08/2021,2021,N-N-N-Y,239,8562392021,-89.37425,42.316897,NA,NA,NA,NA,IL01,NA,NA,NA,NA,NA,0.06,0.009997754,0.034196315,7030047060,7050047060,7050511950,7040569650,7030047060,TRUE,TRUE,TRUE,NA,NA,NA,ImageMeasurements2004-2021.xlsx,,0.060416146,Std.Manual,F,NA,NA,NA
4361,NA,NA,NA,4719377,4719377,17/10/2016,2016,Y-Y-N-N,291,NA2912016,-77.51850128,37.55124625,8,NA,N-Y-N-N,TRUE,NA,0.342729644,0.146498557,NA,NA,NA,NA,NA,NA,7030038340,7050041410,7050041410,7040041410,7030038340,TRUE,TRUE,TRUE,perching_wing_2024-01-17.csv,All_data_iNat_standard.csv,NA,NA,,0.061054862,iNat.Manual,F,NA,0.061054862,NA
4342,NA,NA,NA,1999771,1999771,24/09/2015,2015,Y-Y-N-N,267,NA2672015,-77.512794,37.549613,7,NA,N-Y-N-N,TRUE,NA,0.420586359,0.147187932,NA,NA,NA,NA,NA,NA,7030038340,7050041410,7050041410,7040041410,7030038340,TRUE,TRUE,TRUE,perching_wing_2024-01-17.csv,All_data_iNat_standard.csv,NA,NA,,0.061844686,iNat.Manual,F,NA,0.061844686,NA
4257,NA,NA,NA,11032843,11032843,22/02/2018,2018,Y-Y-N-N,53,NA532018,-105.4349113,20.48352133,9,NA,N-N-N-N,TRUE,NA,0.14557001,0.147314008,NA,NA,NA,NA,NA,NA,7030000010,7050005420,7050005420,7040005420,7030000010,TRUE,TRUE,TRUE,perching_wing_2024-01-17.csv,All_data_iNat_standard.csv,NA,NA,,0.061989132,iNat.Manual,B,0.151016184,0.061989132,NA
