"","species","hw.raw","hw.logit","time"
"522","D","0.999","4.49879905882434","peak"
"523","D","1","4.59511985013459","peak"
"524","D","1","4.59511985013459","peak"
"525","D","0.728","0.93456249811011","peak"
"526","D","1","4.59511985013459","peak"
"527","D","1","4.59511985013459","peak"
"528","D","1","4.59511985013459","peak"
"529","D","1","4.59511985013459","peak"
"530","D","1","4.59511985013459","peak"
"531","D","1","4.59511985013459","peak"
"532","D","0.842","1.59986846141795","peak"
"533","D","0.783","1.22532903110602","peak"
"534","D","1","4.59511985013459","peak"
"535","D","1","4.59511985013459","peak"
"536","D","0.908","2.17519725501793","peak"
"537","D","1","4.59511985013459","peak"
"538","D","0.908","2.17519725501793","peak"
"539","D","0.94","2.58668934409794","peak"
"540","D","1","4.59511985013459","peak"
"541","D","1","4.59511985013459","peak"
"542","D","1","4.59511985013459","peak"
"543","D","0.866","1.78245707656574","peak"
"544","D","1","4.59511985013459","peak"
"545","D","0.763","1.11467689117192","peak"
"546","D","1","4.59511985013459","peak"
"547","D","1","4.59511985013459","peak"
"548","D","1","4.59511985013459","peak"
"549","D","1","4.59511985013459","peak"
"550","D","1","4.59511985013459","peak"
"551","D","1","4.59511985013459","peak"
"552","D","1","4.59511985013459","peak"
"553","D","1","4.59511985013459","peak"
"554","D","1","4.59511985013459","peak"
"555","D","0.996","4.25459902498738","peak"
"556","D","1","4.59511985013459","peak"
"557","D","0.991","3.94413348039892","peak"
"558","D","0.997","4.32972068197194","peak"
"559","D","0.945","2.66615925939305","peak"
"560","D","1","4.59511985013459","peak"
"561","D","1","4.59511985013459","peak"
"562","D","0.863","1.75832696071294","peak"
"563","D","1","4.59511985013459","peak"
"564","D","0.763","1.11467689117192","peak"
"565","D","1","4.59511985013459","peak"
"566","D","1","4.59511985013459","peak"
"567","D","0.909","2.18616251763036","peak"
"568","D","1","4.59511985013459","peak"
"569","D","1","4.59511985013459","peak"
"570","D","1","4.59511985013459","peak"
"571","D","1","4.59511985013459","peak"
"572","D","0.851","1.66568745775272","peak"
"573","D","1","4.59511985013459","peak"
"574","D","1","4.59511985013459","peak"
"575","D","1","4.59511985013459","peak"
"576","D","1","4.59511985013459","peak"
"577","D","1","4.59511985013459","peak"
"578","D","1","4.59511985013459","peak"
"579","D","1","4.59511985013459","peak"
"580","D","1","4.59511985013459","peak"
