species,hw.raw,hw.logit,time
D,0.932,2.469836397,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.844,1.614245614,peak
D,0.861,1.742465823,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.842,1.599868461,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.912,2.219647041,peak
D,1,4.59511985,peak
D,0.923,2.350827762,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.893,2.021151266,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.812,1.398841577,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.957,2.88300718,peak
D,1,4.59511985,peak
D,0.933,2.483823813,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.785,1.236762627,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.871,1.823620571,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.838,1.571518678,peak
D,0.734,0.964390527,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.825,1.482832288,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.953,2.806015015,peak
D,1,4.59511985,peak
D,0.869,1.807009032,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.879,1.892145802,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.799,1.318908187,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.964,3.032022275,peak
D,1,4.59511985,peak
D,0.898,2.070472872,peak
D,1,4.59511985,peak
D,0.82,1.450010176,peak
D,0.846,1.628762185,peak
D,0.92,2.313634929,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.852,1.673184981,peak
D,0.824,1.476213692,peak
D,0.8,1.324925415,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.999,4.498799059,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.728,0.934562498,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.842,1.599868461,peak
D,0.783,1.225329031,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.908,2.175197255,peak
D,1,4.59511985,peak
D,0.908,2.175197255,peak
D,0.94,2.586689344,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.866,1.782457077,peak
D,1,4.59511985,peak
D,0.763,1.114676891,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.996,4.254599025,peak
D,1,4.59511985,peak
D,0.991,3.94413348,peak
D,0.997,4.329720682,peak
D,0.945,2.666159259,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.863,1.758326961,peak
D,1,4.59511985,peak
D,0.763,1.114676891,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.909,2.186162518,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.851,1.665687458,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.758,1.08797389,peak
D,0.992,3.99921955,peak
D,0.89,1.992430165,peak
D,1,4.59511985,peak
D,0.995,4.18459144,peak
D,0.996,4.254599025,peak
D,0.931,2.456012184,peak
D,1,4.59511985,peak
D,0.617,0.434719179,peak
D,1,4.59511985,peak
D,0.947,2.699548556,peak
D,0.823,1.469622493,peak
