species,hw.trans.peak,time
B,-0.554092206,peak
B,-0.552618477,peak
B,-0.552550449,peak
B,-0.551312084,peak
B,-0.550433782,peak
B,-0.548295596,peak
B,-0.546641233,peak
B,-0.540240159,peak
B,-0.539663767,peak
B,-0.539448777,peak
B,-0.532956203,peak
B,-0.529043337,peak
B,-0.527091734,peak
B,-0.526869144,peak
B,-0.525764105,peak
B,-0.524460203,peak
B,-0.520360597,peak
B,-0.518497408,peak
B,-0.516068382,peak
B,-0.511281394,peak
B,-0.511163908,peak
B,-0.507545464,peak
B,-0.507439769,peak
B,-0.506765058,peak
B,-0.50655418,peak
B,-0.504199809,peak
B,-0.503831161,peak
B,-0.495119526,peak
B,-0.494068115,peak
B,-0.491591448,peak
B,-0.486782164,peak
B,-0.486760303,peak
B,-0.484188262,peak
B,-0.483466443,peak
B,-0.483247992,peak
B,-0.481108836,peak
B,-0.480639597,peak
B,-0.48032384,peak
B,-0.46982635,peak
B,-0.468126423,peak
B,-0.466584431,peak
B,-0.463997822,peak
B,-0.460960902,peak
B,-0.458795675,peak
B,-0.456243199,peak
B,-0.4492068,peak
B,-0.44618775,peak
B,-0.44331695,peak
B,-0.440799164,peak
B,-0.430733936,peak
B,-0.428213353,peak
B,-0.427440382,peak
B,-0.425811165,peak
B,-0.424598244,peak
B,-0.424429864,peak
B,-0.42326801,peak
B,-0.420597594,peak
B,-0.418989747,peak
B,-0.413377392,peak
B,-0.409949868,peak
B,-0.409272649,peak
B,-0.407891615,peak
B,-0.40682183,peak
B,-0.406313043,peak
B,-0.402367824,peak
B,-0.40052484,peak
B,-0.399856999,peak
B,-0.398356689,peak
B,-0.397866167,peak
B,-0.388858354,peak
B,-0.388341108,peak
B,-0.386454621,peak
B,-0.383956184,peak
B,-0.381221073,peak
B,-0.378817344,peak
B,-0.378205349,peak
B,-0.376138821,peak
B,-0.375528072,peak
B,-0.374634701,peak
B,-0.373845285,peak
B,-0.364634719,peak
B,-0.362224575,peak
B,-0.360999528,peak
B,-0.360877812,peak
B,-0.360050522,peak
B,-0.359112139,peak
B,-0.355911366,peak
B,-0.352871168,peak
B,-0.352821493,peak
B,-0.352679027,peak
B,-0.347900239,peak
B,-0.347016564,peak
B,-0.346474603,peak
B,-0.342585336,peak
B,-0.34178718,peak
B,-0.336820548,peak
B,-0.334839699,peak
B,-0.334048776,peak
B,-0.330885434,peak
B,-0.329817286,peak
B,-0.329794908,peak
B,-0.329070336,peak
B,-0.327962413,peak
B,-0.326475067,peak
B,-0.322340558,peak
B,-0.319075611,peak
B,-0.318452372,peak
B,-0.315397619,peak
B,-0.314969722,peak
B,-0.30674282,peak
B,-0.301821184,peak
B,-0.294092528,peak
B,-0.291735484,peak
B,-0.28757448,peak
B,-0.285882262,peak
B,-0.282066602,peak
B,-0.277598715,peak
B,-0.27669556,peak
B,-0.272954475,peak
B,-0.270390742,peak
B,-0.267740768,peak
B,-0.265748762,peak
B,-0.264628735,peak
B,-0.259789575,peak
B,-0.259635575,peak
B,-0.259129494,peak
B,-0.25493673,peak
B,-0.250561068,peak
B,-0.246842672,peak
B,-0.245479277,peak
B,-0.243702823,peak
B,-0.243546417,peak
B,-0.243140048,peak
B,-0.236614147,peak
B,-0.236074448,peak
B,-0.234842014,peak
B,-0.234436362,peak
B,-0.233341784,peak
B,-0.228141861,peak
B,-0.225995737,peak
B,-0.222545894,peak
B,-0.221149885,peak
B,-0.220142046,peak
B,-0.219129674,peak
B,-0.217609838,peak
B,-0.216913639,peak
B,-0.212846763,peak
B,-0.212372686,peak
B,-0.211718224,peak
B,-0.209182016,peak
B,-0.208244896,peak
B,-0.207118772,peak
B,-0.20272875,peak
B,-0.201196584,peak
B,-0.193441359,peak
B,-0.191381527,peak
B,-0.191314093,peak
B,-0.189005666,peak
B,-0.188970994,peak
B,-0.185067684,peak
B,-0.184784843,peak
B,-0.184275435,peak
B,-0.183780799,peak
B,-0.182918682,peak
B,-0.178135326,peak
B,-0.174831513,peak
B,-0.169845696,peak
B,-0.166158657,peak
B,-0.16536998,peak
B,-0.161428406,peak
B,-0.16014557,peak
B,-0.155715439,peak
B,-0.155580046,peak
B,-0.154625287,peak
B,-0.146989539,peak
B,-0.145738764,peak
B,-0.14197753,peak
B,-0.141832322,peak
B,-0.136479722,peak
B,-0.132153751,peak
B,-0.122831078,peak
B,-0.122266985,peak
B,-0.114884636,peak
B,-0.111527815,peak
B,-0.109468329,peak
B,-0.109462548,peak
B,-0.107061366,peak
B,-0.10070272,peak
B,-0.095858736,peak
B,-0.094960551,peak
B,-0.094844265,peak
B,-0.094319557,peak
B,-0.092271034,peak
B,-0.089220618,peak
B,-0.087425506,peak
B,-0.083038707,peak
B,-0.07270406,peak
B,-0.070447521,peak
B,-0.063954686,peak
B,-0.061161439,peak
B,-0.057817977,peak
B,-0.056266564,peak
B,-0.055259037,peak
B,-0.050464271,peak
B,-0.048324294,peak
B,-0.039670286,peak
B,-0.03923857,peak
B,-0.031068915,peak
B,-0.027852957,peak
B,-0.023128679,peak
B,-0.018492587,peak
B,-0.018331441,peak
B,-0.018200534,peak
B,0.002080477,peak
B,0.010240369,peak
B,0.031761582,peak
B,0.038430457,peak
B,0.044821218,peak
B,0.046387456,peak
B,0.053611229,peak
B,0.062765521,peak
B,0.067441395,peak
B,0.080087259,peak
B,0.101338881,peak
B,0.114510777,peak
B,0.130482202,peak
B,0.170657664,peak
B,0.18192878,peak
B,0.208702524,peak
B,0.225448664,peak
B,0.242551714,peak
B,0.248375424,peak
B,0.277812607,peak
B,0.338572202,peak
B,0.34293713,peak
B,0.364111506,peak
B,0.38554287,peak
B,0.390285094,peak
B,0.396147892,peak
B,0.49288854,peak
B,0.521046087,peak
B,0.608506315,peak
B,0.864730289,peak
B,0.981243065,peak
B,-3.169027626,trough
B,-2.991276222,trough
B,-2.90333127,trough
B,-2.776569627,trough
B,-2.463281941,trough
B,-2.244351036,trough
B,-2.04539039,trough
B,-1.887778736,trough
B,-1.270270503,trough
B,-1.109479777,trough
B,-1.066015784,trough
B,-1.019286767,trough
B,-1.017733584,trough
B,-0.972472851,trough
B,-0.927493833,trough
B,-0.811887147,trough
B,-0.660949379,trough
B,-0.425811165,trough
C,-3.118493776,peak
C,-1.847627912,peak
C,-1.052322153,peak
C,-0.793459308,peak
C,-0.718202207,peak
C,-0.599759104,peak
C,-0.5780362,peak
C,-0.550173589,peak
C,-0.503669696,peak
C,-0.368524986,peak
C,-0.314687154,peak
C,-0.275020925,peak
C,-0.271700054,peak
C,-0.148506922,peak
C,-0.12861823,peak
C,-0.044013288,peak
C,0.025915758,peak
C,0.050464667,peak
C,0.129552479,peak
C,0.159893343,peak
C,0.17535856,peak
C,0.184389495,peak
C,0.319488719,peak
C,0.343319833,peak
C,0.35736833,peak
C,0.364781241,peak
C,0.400480059,peak
C,0.402664753,peak
C,0.429414702,peak
C,0.43383699,peak
C,0.503751612,peak
C,0.505709731,peak
C,0.508834678,peak
C,0.509861268,peak
C,0.532662936,peak
C,0.534612168,peak
C,0.539004437,peak
C,0.542191147,peak
C,0.569981113,peak
C,0.609969169,peak
C,0.655436106,peak
C,0.679911384,peak
C,0.683953636,peak
C,0.684691617,peak
C,0.687929399,peak
C,0.709452513,peak
C,0.716224985,peak
C,0.719551529,peak
C,0.798592296,peak
C,0.80851602,peak
C,0.825151259,peak
C,0.835879836,peak
C,0.869083564,peak
C,0.893371876,peak
C,0.89648727,peak
C,0.905522741,peak
C,0.908092428,peak
C,0.908441434,peak
C,0.910985812,peak
C,0.925989371,peak
C,0.931433386,peak
C,0.951109507,peak
C,0.953403774,peak
C,0.954624123,peak
C,0.963512697,peak
C,0.966837881,peak
C,0.969772215,peak
C,0.988576607,peak
C,0.993507524,peak
C,0.996326165,peak
C,1.00552367,peak
C,1.015775871,peak
C,1.043367907,peak
C,1.044359333,peak
C,1.048604636,peak
C,1.04980589,peak
C,1.070668088,peak
C,1.089196016,peak
C,1.107348578,peak
C,1.163816213,peak
C,1.168086801,peak
C,1.173976492,peak
C,1.176061915,peak
C,1.176808309,peak
C,1.189074716,peak
C,1.199414523,peak
C,1.231508975,peak
C,1.238821008,peak
C,1.255070032,peak
C,1.278195752,peak
C,1.29866541,peak
C,1.303792669,peak
C,1.304120139,peak
C,1.328561914,peak
C,1.32873355,peak
C,1.350321711,peak
C,1.379210412,peak
C,1.455821487,peak
C,1.48006511,peak
C,1.511908883,peak
C,1.574659404,peak
C,1.586669032,peak
C,1.65463522,peak
C,1.679906479,peak
C,1.711713346,peak
C,1.853391351,peak
C,1.871610294,peak
C,1.959103215,peak
C,2.252908428,peak
C,2.526387365,peak
C,2.792767981,peak
C,2.819592558,peak
C,2.890861541,peak
C,2.892706475,peak
C,2.955283751,peak
C,2.968483576,peak
C,3.281674078,peak
C,3.770282285,peak
C,3.83190403,peak
C,3.900868363,peak
C,4.415910773,peak
C,4.59511985,peak
C,4.59511985,peak
C,-1.847627912,trough
C,-1.639915028,trough
