species,hw.trans.peak,time
E,-1.638519456,trough
E,-1.56659701,trough
E,-1.398819991,trough
E,-1.606933381,trough
E,-1.699147093,trough
E,-1.673997419,trough
E,-1.596328288,trough
E,-0.870959386,trough
E,-1.652106844,trough
E,-1.590744446,trough
E,-1.686718012,trough
E,-1.559838839,trough
E,-1.293120604,trough
E,-0.707376338,trough
E,-1.278180777,trough
E,0.627553061,trough
E,-1.619837101,trough
E,-1.66275572,trough
E,-1.480619829,trough
E,-1.386723801,trough
E,-1.646908119,trough
E,-1.669236877,trough
E,-1.685545935,trough
E,-1.686566516,trough
E,-1.686832773,trough
E,-1.686867125,trough
E,-1.686184704,trough
E,-1.686122917,trough
E,-1.647023883,trough
E,-1.62509401,trough
E,-1.044134838,trough
E,-0.127276334,trough
E,-0.056784078,trough
E,-1.450900305,trough
E,-1.608957712,trough
E,-1.24150618,trough
E,-1.124280966,trough
E,-1.872164498,trough
E,-1.452257816,trough
E,-1.535318819,trough
E,-0.248998616,trough
E,-1.636337865,trough
E,-1.708324223,trough
E,-1.517045617,trough
E,-1.469219951,trough
F,-1.392556122,peak
F,-1.91875916,peak
F,-1.571518678,peak
F,-1.469622493,peak
F,-1.469622493,peak
F,-0.885690291,peak
F,-1.665687458,peak
F,-1.109307578,peak
F,-1.259848344,peak
F,-1.900958761,peak
F,-1.650806341,peak
F,-1.324925415,peak
F,-1.550597412,peak
F,-1.658228077,peak
F,-1.734601055,peak
F,-1.550597412,peak
F,-1.004793533,peak
F,-2.175197255,peak
F,-1.50285565,peak
F,-1.550597412,peak
F,-2.219647041,peak
F,-1.857454728,peak
F,-1.614245614,peak
F,-1.571518678,peak
F,-1.361479192,peak
F,-1.13630181,peak
F,-1.496152942,peak
F,-1.550597412,peak
F,-1.59273108,peak
F,-1.130873151,peak
F,-0.974421908,peak
F,-1.945910149,peak
F,-1.927748469,peak
F,-1.883389792,peak
F,-1.318908187,peak
F,-1.125459539,peak
F,-1.665687458,peak
F,-1.516347489,peak
F,-1.386294361,peak
F,-1.082675696,peak
F,-1.703566757,peak
F,-1.564513101,peak
F,-1.734601055,peak
F,-1.450010176,peak
F,-1.523137304,peak
F,-2.164326874,peak
F,-1.650806341,peak
